1,,
Time (s),Intensity (a.u.),
30.61874962,49.59734344,
30.63125038,49.39055634,
30.64375114,53.36787415,
30.65625,50.02592087,
30.66875076,49.76970291,
30.68124962,50.43943787,
30.69375038,47.98142624,
30.70625114,51.30889893,
30.71875,53.66936874,
30.73125076,50.86297226,
30.74374962,51.09300232,
30.75625038,52.01427841,
30.76875114,51.57037354,
30.78125,50.75357437,
30.79375076,52.53091812,
30.80624962,50.63938904,
30.81875038,52.57595825,
30.83125114,51.16638947,
30.84375,49.11804581,
30.85625076,53.85903931,
30.86874962,50.99808502,
30.88125038,49.26611328,
30.89375114,50.77825928,
30.90625,49.06872177,
30.91875076,52.2800293,
30.93124962,49.49739075,
30.94375038,51.03944778,
30.95625114,48.20671082,
30.96875,51.78979492,
30.98125076,50.17829514,
30.99374962,49.2143898,
31.00625038,51.5216217,
31.01875114,52.54259491,
31.03125,54.09602737,
31.04375076,53.18332672,
31.05624962,53.39992523,
31.06875038,52.61823273,
31.08125114,54.35477448,
31.09375,51.21605682,
31.10625076,51.27877426,
31.11874962,50.47482681,
31.13125038,49.08747482,
31.14375114,49.39063644,
31.15625,52.32484818,
31.16875076,54.61948776,
31.18124962,51.42135239,
31.19375038,50.76077271,
31.20625114,50.27788544,
31.21875,49.69898987,
31.23125076,48.5487442,
31.24374962,52.97845078,
31.25625038,47.27082825,
31.26875114,53.31616211,
31.28125,54.94928741,
31.29375076,52.30289078,
31.30624962,51.75077057,
31.31875038,50.86912155,
31.33125114,51.98180771,
31.34375,50.99295425,
31.35625076,48.36034012,
31.36874962,50.17147064,
31.38125038,51.85089493,
31.39375114,54.0749321,
31.40625,52.29690933,
31.41875076,53.44004059,
31.43124962,47.71704102,
31.44375038,48.49027634,
31.45625114,52.27591324,
31.46875,48.88321304,
31.48125076,53.42820358,
31.49374962,50.90054703,
31.50625038,50.63291168,
31.51875114,50.37527084,
31.53125,49.63898849,
31.54375076,51.57444763,
31.55624962,49.72161102,
31.56875038,46.61071777,
31.58125114,53.34354019,
31.59375,49.70459747,
31.60625076,53.07369232,
31.61874962,49.50242615,
31.63125038,50.54535675,
31.64375114,49.31295776,
31.65625,51.2787056,
31.66875076,51.90311432,
31.68124962,46.59178162,
31.69375038,50.97641373,
31.70625114,48.88888931,
31.71875,52.54170609,
31.73125076,51.52793503,
31.74374962,51.86909866,
31.75625038,54.23467636,
31.76875114,54.95661545,
31.78125,51.85282135,
31.79375076,49.02593231,
31.80624962,51.25149155,
31.81875038,51.60798264,
31.83125114,49.21159744,
31.84375,56.22700882,
31.85625076,50.28078842,
31.86874962,51.41257477,
31.88125038,51.09114075,
31.89375114,54.48513412,
31.90625,50.24478149,
31.91875076,54.3326149,
31.93124962,50.978302,
31.94375038,50.99948883,
31.95625114,48.42677689,
31.96875,54.24861908,
31.98125076,50.1989975,
31.99374962,53.39539719,
32.00625229,49.95573807,
32.01874924,50.14252472,
32.03125,48.83927536,
32.04375076,56.25717545,
32.05625153,52.24647141,
32.06875229,52.00154495,
32.08124924,51.32172775,
32.09375,51.11944962,
32.10625076,52.06211472,
32.11875153,53.89297485,
32.13125229,46.5729332,
32.14374924,50.85398483,
32.15625,50.18059921,
32.16875076,50.28717041,
32.18125153,52.12428665,
32.19375229,48.13920975,
32.20624924,50.29163742,
32.21875,54.33392715,
32.23125076,53.20435333,
32.24375153,47.50443268,
32.25625229,54.15024567,
32.26874924,53.42831802,
32.28125,50.311203,
32.29375076,50.69595337,
32.30625153,60.87408829,
32.31875229,65.42779541,
32.33124924,58.95112991,
32.34375,62.38949203,
32.35625076,58.17282486,
32.36875153,69.88352203,
32.38125229,62.59522629,
32.39374924,54.39490509,
32.40625,79.39362335,
32.41875076,64.55680084,
32.43125153,66.88834381,
32.44375229,73.17383575,
32.45624924,63.27179718,
32.46875,78.25422668,
